account_id,customer_id,conversation_id,order_id,order_status,delivered_at,revenue,currency,payment_method,phone,email,first_name,last_name,city,country,ctwa_clid,campaign_id,ad_id,creative_id,platform
account_001,cust_001,conv_001,ord_001,delivered,2026-04-18 11:22:00+00:00,340,EGP,cod_cash,+2010XXXX0001,ahmed.mohamed@example.com,Ahmed,Mohamed,Maadi,EG,ARZxK9pQrSt-vN3mFa_xL8wY2Pc4nB6vR1aZ7mK0xT9hQrSt-vN3mFa_xL_001,120209876543220001,120209876543210001,120209876543230001,meta_ctwa
account_001,cust_002,conv_002,ord_002,delivered,2026-04-23 14:10:00+00:00,1200,EGP,bnpl,+2010XXXX0002,sara.hassan@example.com,Sara,Hassan,Alexandria,EG,ARJsQpY_pMxFfV9eHzCpYlk7tZ8FvKjGsLwEoR2pMxFfV9eHzCpYlk7tZ_002,120209876543220003,120209876543210005,120209876543230004,meta_ctwa
account_001,cust_003,conv_003,ord_003,delivered,2026-04-22 13:50:00+00:00,580,EGP,card,+2010XXXX0003,,Mariam,El-Sayed,Giza,EG,ARkN4xLwQpY3tZmCvBnHfDsErT7yU8oP1aS2dF6gH9jK0lQwErT7yU8oP_003,120209876543220002,120209876543210003,120209876543230003,meta_ctwa
account_001,cust_006,conv_006,ord_006,cancelled,,340,EGP,cod_cash,+2010XXXX0006,,Omar,Khaled,,EG,ARtFsErT7yU8oP1aS2dF6gH9jK0lQwErT7yU8oP1aARtFsErT7yU8oP1aS2_006,120209876543220001,120209876543210001,120209876543230001,meta_ctwa
account_001,cust_007,conv_007,ord_007,cancelled,,340,EGP,cod_cash,+2010XXXX0007,nada@example.com,Nada,Wagdy,Heliopolis,EG,ARwBnHfDsErT7yU8oP1aS2dF6gH9jKARwBnHfDsErT7yU8oP1aS2dF6gH9_007,120209876543220002,120209876543210004,120209876543230003,meta_ctwa
account_001,cust_008,conv_008,ord_008,refunded,2026-05-02 11:00:00+00:00,340,EGP,cod_cash,+2010XXXX0008,layla.ibrahim@example.com,Layla,Ibrahim,Heliopolis,EG,ARqW8vR1aP6mK4xT0hF3jL7nB2vR9aZ7mK0xT9hARqW8vR1aP6mK4xT0hF3_008,120209876543220001,120209876543210002,120209876543230002,meta_ctwa
account_001,cust_009,conv_009,ord_009,delivered,2026-05-04 12:30:00+00:00,580,EGP,cod_cash,+2010XXXX0009,yousef@example.com,Yousef,Adel,Mohandessin,EG,,,,,organic
account_001,cust_010,conv_010,ord_010,delivered,2026-05-05 15:20:00+00:00,340,EGP,cod_cash,+2010XXXX0010,,Hany,,Nasr City,EG,,,,,organic
account_001,cust_011,conv_011a,ord_011a,delivered,2026-04-21 13:10:00+00:00,340,EGP,cod_cash,+2010XXXX0011,nour.hany@example.com,Nour,Hany,Zamalek,EG,ARxLwQpY3tZmCvBnHfDsErT7yU8oP1aS2dFARxLwQpY3tZmCvBnHfDsErT7y_011a,120209876543220003,120209876543210005,120209876543230004,meta_ctwa
account_001,cust_011,conv_011b,ord_011b,delivered,2026-05-10 14:30:00+00:00,340,EGP,cod_cash,+2010XXXX0011,nour.hany@example.com,Nour,Hany,Zamalek,EG,,,,,organic
account_001,cust_012,conv_012a,ord_012a,delivered,2026-04-13 11:00:00+00:00,1800,EGP,card,+2010XXXX0012,reem.adel@example.com,Reem,Adel,Heliopolis,EG,ARyU8oP1aS2dF6gH9jK0lQwErT7yU8oPARyU8oP1aS2dF6gH9jK0lQwErT7y_012a,120209876543220003,120209876543210005,120209876543230004,meta_ctwa
account_001,cust_012,conv_012b,ord_012b,delivered,2026-04-30 16:00:00+00:00,2100,EGP,card,+2010XXXX0012,reem.adel@example.com,Reem,Adel,Heliopolis,EG,,,,,organic
account_001,cust_012,conv_012c,ord_012c,delivered,2026-05-17 13:00:00+00:00,2100,EGP,card,+2010XXXX0012,reem.adel@example.com,Reem,Adel,Heliopolis,EG,,,,,organic
account_001,cust_015,conv_015,ord_015a,delivered,2026-05-13 12:00:00+00:00,920,EGP,cod_cash,+2010XXXX0015,mohamed.tarek@example.com,Mohamed,Tarek,Maadi,EG,ARvN3mFa_xL8wY2Pc4nB6vR1aZ7mK0xT9hQrSt-ARvN3mFa_xL8wY2Pc4nB6_015,120209876543220003,120209876543210005,120209876543230004,meta_ctwa
account_001,cust_015,conv_015,ord_015b,delivered,2026-05-14 11:30:00+00:00,320,EGP,cod_cash,+2010XXXX0015,mohamed.tarek@example.com,Mohamed,Tarek,Maadi,EG,ARvN3mFa_xL8wY2Pc4nB6vR1aZ7mK0xT9hQrSt-ARvN3mFa_xL8wY2Pc4nB6_015,120209876543220003,120209876543210005,120209876543230004,meta_ctwa
account_001,cust_017,conv_017,ord_017,pending,,1500,EGP,cod_cash,+2010XXXX0017,,Tarek,,6th of October,EG,ARkLpQ9wRtYuIoP1aS2dF6gH9jK0lQwErT7yU8oPARkLpQ9wRtYuIoP1aS2_017,120209876543220002,120209876543210003,120209876543230003,meta_ctwa
account_001,cust_001,conv_018,ord_018,delivered,2026-05-22 13:00:00+00:00,1800,EGP,card,+2010XXXX0001,ahmed.mohamed@example.com,Ahmed,Mohamed,Maadi,EG,ARpZxYwQ-vR3mFa_xL8nB6vR1aZ7mK0xT9hQrSt-ARpZxYwQ-vR3mFa_xL_018,120209876543220003,120209876543210005,120209876543230004,meta_ctwa
